# === PPO_STATS_BEGIN ===
total_completed=278
best_reward=127.243046
best_reward_ts=2025-12-23 17:12:27
best_reward_run=2025-12-23 16:07:56
best_reward_ep=(116/10000)
best_survival=39.180
best_survival_ts=2025-12-23 17:01:50
best_survival_run=2025-12-23 16:07:56
best_survival_ep=(98/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-23 15:21:32  episodes=1
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(75/10000)	81.875770	24.502	
(76/10000)	91.013740	27.437	
(77/10000)	78.400000	23.566	
(78/10000)	60.892469	18.256	
(79/10000)	99.349407	31.989	
(80/10000)	86.779817	24.753	
(81/10000)	77.296331	22.233	
(82/10000)	63.255988	18.702	
(83/10000)	84.964136	25.328	
(84/10000)	61.337736	20.683	
(85/10000)	76.965215	22.823	
(86/10000)	102.463342	29.573	
(87/10000)	73.896905	21.777	
(88/10000)	84.897417	26.163	
(89/10000)	73.923164	22.004	
(90/10000)	96.777908	29.122	
(91/10000)	73.217803	21.985	
(92/10000)	69.375700	21.891	
(93/10000)	90.864283	25.839	
(94/10000)	77.000000	22.400	
(95/10000)	71.571981	21.250	
(96/10000)	68.872406	21.474	
(97/10000)	70.675414	22.164	
(98/10000)	117.766236	39.180	
(99/10000)	54.771285	19.286	
(100/10000)	60.882697	22.200	
(101/10000)	83.037351	24.469	
(102/10000)	122.005688	37.348	
(103/10000)	102.459697	29.856	
(104/10000)	74.602249	22.593	
(105/10000)	101.562898	29.551	
(106/10000)	73.264250	21.753	
(107/10000)	113.455100	32.364	
(108/10000)	98.491986	29.160	
(109/10000)	56.800000	16.885	
(110/10000)	58.962462	18.044	
(111/10000)	89.692364	27.949	
(112/10000)	70.431225	20.734	
(113/10000)	105.792639	31.182	
(114/10000)	57.844567	18.696	
(115/10000)	112.589894	31.459	
(116/10000)	127.243046	37.541	
(117/10000)	66.262305	18.686	ABORTED

========
[RUN] 2025-12-23 17:15:02  episodes=10000
[STATS] total_completed=163 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/10000)	84.311275	25.061	
(2/10000)	94.100000	26.531	
(3/10000)	82.856403	24.195	
(4/10000)	79.359710	24.078	
(5/10000)	102.179461	29.677	
(6/10000)	79.979217	23.009	
(7/10000)	68.572309	20.974	
(8/10000)	77.352133	22.423	
(9/10000)	80.660947	24.849	
(10/10000)	56.887923	17.607	
(11/10000)	83.666561	25.396	
(12/10000)	75.186369	21.763	
(13/10000)	69.452409	22.002	
(14/10000)	57.505392	17.849	
(15/10000)	90.000000	25.876	
(16/10000)	70.914274	22.078	
(17/10000)	105.344290	30.596	
(18/10000)	74.100000	21.443	
(19/10000)	76.602688	22.881	
(20/10000)	72.218790	22.614	
(21/10000)	86.093356	26.651	
(22/10000)	60.188206	18.616	
(23/10000)	91.714660	26.484	
(24/10000)	69.364691	21.761	
(25/10000)	76.018533	23.667	
(26/10000)	74.368847	22.813	
(27/10000)	104.900000	29.642	
(28/10000)	77.293797	23.769	
(29/10000)	88.925269	27.154	
(30/10000)	80.008948	25.925	
(31/10000)	65.179911	21.050	
(32/10000)	72.165061	21.256	
(33/10000)	54.000000	16.120	
(34/10000)	64.762295	20.136	
(35/10000)	109.241539	33.625	
(36/10000)	73.068759	21.949	
(37/10000)	106.321421	31.101	
(38/10000)	88.588993	25.744	
(39/10000)	79.582281	24.070	
(40/10000)	107.352622	31.359	
(41/10000)	85.300000	24.401	
(42/10000)	66.000000	19.367	
(43/10000)	70.088563	22.081	
(44/10000)	71.792746	23.480	
(45/10000)	78.397712	23.207	
(46/10000)	78.199375	22.667	
(47/10000)	84.511927	25.009	
(48/10000)	48.980276	16.600	
(49/10000)	115.402702	33.641	
(50/10000)	105.337193	30.853	
(51/10000)	67.732677	21.169	
(52/10000)	94.400000	27.859	
(53/10000)	96.645869	30.207	
(54/10000)	73.288462	22.719	
(55/10000)	71.700000	20.825	
(56/10000)	100.326075	30.176	
(57/10000)	79.702340	25.119	
(58/10000)	61.802116	19.656	
(59/10000)	101.833000	31.167	
(60/10000)	72.786754	22.489	
(61/10000)	82.990491	25.044	
(62/10000)	63.719469	19.958	
(63/10000)	90.966349	26.182	
(64/10000)	71.393310	21.829	
(65/10000)	106.572027	31.688	
(66/10000)	76.181819	24.148	
(67/10000)	84.032470	25.311	
(68/10000)	108.900949	32.034	
(69/10000)	82.700000	23.924	
(70/10000)	57.120153	18.907	
(71/10000)	47.788473	16.274	
(72/10000)	57.734200	18.153	
(73/10000)	83.400000	24.746	
(74/10000)	72.218180	21.758	
(75/10000)	65.578817	21.760	
(76/10000)	78.300000	22.630	
(77/10000)	72.840373	21.596	
(78/10000)	13.600000	3.679	ABORTED

========
[RUN] 2025-12-23 21:27:09  episodes=1
[STATS] total_completed=240 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/1)	59.304426	20.938	

========
[RUN] 2025-12-23 21:31:21  episodes=1
[STATS] total_completed=241 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/1)	43.902903	20.925	

========
[RUN] 2025-12-23 21:37:24  episodes=1 eval=True
[STATS] total_completed=242 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note

========
[RUN] 2025-12-23 21:41:24  episodes=10000 eval=False
[STATS] total_completed=242 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/10000)	52.542487	21.391	
(2/10000)	64.426211	26.731	
(3/10000)	55.700000	21.500	
(4/10000)	68.900000	27.569	
(5/10000)	49.051956	22.218	
(6/10000)	52.474709	21.220	
(7/10000)	57.983789	24.956	
(8/10000)	66.400000	26.467	
(9/10000)	47.295248	22.109	
(10/10000)	58.500000	22.704	
(11/10000)	64.100000	25.682	
(12/10000)	47.100000	19.991	
(13/10000)	52.689549	21.586	
(14/10000)	75.661131	30.139	
(15/10000)	76.951525	31.180	
(16/10000)	65.400000	24.996	
(17/10000)	53.948141	23.209	
(18/10000)	63.293378	24.947	
(19/10000)	64.429294	27.064	
(20/10000)	65.962408	26.770	
(21/10000)	46.857323	22.896	
(22/10000)	48.544534	20.340	
(23/10000)	62.884160	24.732	
(24/10000)	52.154866	20.558	
(25/10000)	55.000000	22.633	
(26/10000)	51.200000	21.093	
(27/10000)	36.726729	16.684	
(28/10000)	43.135812	18.824	
(29/10000)	45.398351	18.847	
(30/10000)	53.728793	24.208	
(31/10000)	44.363922	19.097	
(32/10000)	49.254031	20.413	
(33/10000)	49.393598	22.449	
(34/10000)	53.712873	24.440	
(35/10000)	76.158815	30.915	
(36/10000)	61.986278	24.784	

========
[RUN] 2025-12-23 22:21:06  episodes=1 eval=True
[STATS] total_completed=278 | best_reward=127.243 | best_survival=39.18s
idx	reward	survival_sec	note
(1/1)	45.000000	19.377	EVAL
